,test,style,body,color,fuel,model_date,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,vehicle_title,description,features,ownership,price,model
0,0,520d,седан,черный,дизель,2010,4,2013,автомат,2.0,184.0,96000.0,задний,левый,,3.0,,,"['Нагнетатель', 'Система старт-стоп', 'Электроусилитель руля', 'Спортивная подвеска', 'Алюминиевые колесные диски', 'Датчики дождя', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Крепление ISOFIX', 'Антиблокировочная система (ABS)', 'Антипробуксовочная система (TCS)', 'Круиз-контроль', 'Климат-контроль', 'Радио', 'CD-плейер', 'Полноцветный ЖК-монитор', 'Бортовой компьютер']",,1220000,5-Series
1,0,,седан,серебристый,бензин,2017,4,2019,автомат,4.4,625.0,3600.0,полный,левый,,1.0,,,"['Зимняя комплектация', 'Нагнетатель', 'Система старт-стоп', 'Поддержка ручного переключения передач', 'Гидроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Спортивная подвеска', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Система рекуперативного торможения', 'Светодиодные фары', 'Светодиодные ходовые огни', 'Омыватели передних фар', 'Cветодиодные задние фонари', 'Дополнительный стоп-сигнал', 'Датчик света', 'Датчики дождя', 'Боковые зеркала в цвет кузова', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Ручки дверей в цвет кузова', 'Электропривод багажника', 'Регулируемый люк', 'Задний спойлер', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Телескопическая регулировка руля', 'Вертикальная регулировка руля', 'Управление аудиосистемой на руле', 'Проекционная система показаний спидометра', 'Кнопка запуска двигателя', 'Кожаная обивка салона', 'Спортивные сиденья', 'Разделительный подлокотник спереди', 'Разделительный подлокотник сзади', 'Карманы на спинках передних сидений', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Вентиляция передних сидений', 'Подогрев задних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Бесключевой доступ', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Обогрев форсунок стеклоомывателя', 'Пакет курильщика', 'Разъем электропитания', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'ЭРА-ГЛОНАСС', 'Натяжитель ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Переключатель режимов движения', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Адаптивный круиз-контроль (ACCS)', 'Система управления дальним светом', 'Система адаптивного освещения дороги (AFS)', 'Система ночного видения с функцией распознавания пешеходов', 'Система мониторинга «слепых зон»', 'Система распознавания дорожных знаков', 'Система контроля давления в шинах', 'Передний парктроник', 'Задний парктроник', 'Система предотвращения столкновения с функцией автоматического торможения', 'Система контроля усталости водителя', 'Кондиционер', 'Климат-контроль', 'CD-плейер', 'DVD-чейнджер', 'Поддержка MP3', 'Hands free', 'Джойстик управления мультимедиа', 'Встроенный монитор для пассажиров', 'Система навигации', 'Камеры бокового обзора', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Зеркала в противосолнечных козырьках', 'Подсветка при посадке в салон', 'Бортовой компьютер', 'Иммобилайзер', 'Сигнализация', 'Спутниковая противоугонная система', 'Болты-секретки']",,7600000,M5
2,0,850Ci,купе,синий,бензин,1989,2,1993,автомат,5.0,300.0,160000.0,задний,левый,,3.0,,,"['Гидроусилитель руля', 'Алюминиевые колесные диски']",,2150000,8-Series
3,0,,внедорожник,черный,дизель,2019,5,2019,автомат,3.0,249.0,19100.0,полный,левый,,1.0,,,,,4050000,X6
4,0,xDrive 30d,внедорожник,черный,дизель,2006,5,2007,автомат,3.0,235.0,203000.0,полный,левый,,3.0,,,"['Зимняя комплектация', 'Нагнетатель', 'Поддержка ручного переключения передач', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Электрогидроусилитель руля', 'Спортивная подвеска', 'Пневматическая подвеска', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Система рекуперативного торможения', 'Галогенные фары', 'Ксеноновые фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Задние противотуманные фонари', 'Датчик света', 'Датчики дождя', 'Боковые зеркала в цвет кузова', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Ручки дверей в цвет кузова', 'Электропривод багажника', 'Панорамная крыша', 'Рейлинги', 'Задний спойлер', 'Задний дворник', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Телескопическая регулировка руля', 'Вертикальная регулировка руля', 'Управление аудиосистемой на руле', 'Цветной многофункциональный дисплей', 'Проекционная система показаний спидометра', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Кожаная обивка салона', 'Спортивные сиденья', 'Поясничная опора в передних сиденьях', 'Разделительный подлокотник спереди', 'Разделительный подлокотник сзади', 'Электропривод водительского сиденья', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Вентиляция передних сидений', 'Подогрев задних сидений', 'Память расположения сиденья', 'Сиденья с функцией массажа', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Бесключевой доступ', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Обогрев форсунок стеклоомывателя', 'Держатели для бутылок в дверях', 'Разъем электропитания', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Активный подголовник', 'Кузов повышенной прочности', 'Трехточечный ремень безопасности', 'Натяжитель ремней безопасности', 'Фиксатор ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Система помощи при спуске с горы (DAC)', 'Переключатель режимов движения', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Система управления дальним светом', 'Система адаптивного освещения дороги (AFS)', 'Система контроля давления в шинах', 'Передний парктроник', 'Задний парктроник', 'Кондиционер', 'Климат-контроль', 'Радио', 'CD-плейер', 'CD-чейнджер', 'DVD-чейнджер', 'Поддержка MP3', 'Hands free', 'Встроенный монитор для пассажиров', 'Система навигации', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Система памяти в автомобиле и ключе', 'Подсветка при посадке в салон', 'Бортовой компьютер', 'Иммобилайзер', 'Сигнализация', 'Спутниковая противоугонная система']",,1050000,X5
5,0,,внедорожник,белый,бензин,2013,5,2014,автомат,3.0,306.0,101978.0,полный,левый,,2.0,,,,,2150000,X5
6,0,,седан,синий,бензин,2005,4,2010,автомат,2.0,136.0,108500.0,задний,левый,,2.0,,,,,680000,3-Series
7,0,118i,седан,черный,бензин,2004,4,2008,автомат,2.0,136.0,152000.0,задний,левый,,3.0,,,"['Гидроусилитель руля', 'Спортивная подвеска', 'Заниженная подвеска', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Галогенные фары', 'Биксеноновые фары', 'Передние противотуманные фары', 'Задние противотуманные фонари', 'Дополнительный стоп-сигнал', 'Датчики дождя', 'Боковые зеркала в цвет кузова', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Ручки дверей в цвет кузова', 'Регулируемый люк', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Телескопическая регулировка руля', 'Вертикальная регулировка руля', 'Управление аудиосистемой на руле', 'Тахометр', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Кожаная обивка салона', 'Комбинированная обивка салона', 'Спортивные сиденья', 'Поясничная опора в передних сиденьях', 'Разделительный подлокотник спереди', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Память расположения сиденья', 'Выключатель центрального замка', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Обогрев форсунок стеклоомывателя', 'Пакет курильщика', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Кузов повышенной прочности', 'Трехточечный ремень безопасности', 'Натяжитель ремней безопасности', 'Фиксатор ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Система помощи при спуске с горы (DAC)', 'Круиз-контроль', 'Индикатор повреждения шин', 'Передний парктроник', 'Задний парктроник', 'Кондиционер', 'Климат-контроль', 'Радио', 'CD-плейер', 'CD-чейнджер', 'Поддержка MP3', 'Hands free', 'Система навигации', 'Самозатемняющееся зеркало заднего вида', 'Система памяти в автомобиле и ключе', 'Бортовой компьютер', 'Иммобилайзер', 'Противоугонная система', 'Сигнализация', 'Болты-секретки']",,429999,1-Series
8,0,xDrive 30d,внедорожник,белый,дизель,2008,5,2014,автомат,3.0,245.0,76644.0,полный,левый,,1.0,,,"['Зимняя комплектация', 'Нагнетатель', 'Гидроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Система рекуперативного торможения', 'Биксеноновые фары', 'Светодиодные фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Датчик света', 'Датчики дождя', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Регулируемый люк', 'Рейлинги', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Управление аудиосистемой на руле', 'Цветной многофункциональный дисплей', 'Проекционная система показаний спидометра', 'Кнопка запуска двигателя', 'Кожаная обивка салона', 'Комбинированная обивка салона', 'Разделительный подлокотник спереди', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Подогрев задних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Натяжитель ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Переключатель режимов движения', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Система управления дальним светом', 'Система адаптивного освещения дороги (AFS)', 'Парктроник', 'Кондиционер', 'Климат-контроль', 'CD-плейер', 'DVD-чейнджер', 'Поддержка MP3', 'Hands free', 'Встроенный монитор для пассажиров', 'Система навигации', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Бортовой компьютер', 'Иммобилайзер', 'Спутниковая противоугонная система']",,2169000,X6
9,0,xDrive 30d,внедорожник,синий,дизель,2008,5,2014,автомат,3.0,245.0,107558.0,полный,левый,,2.0,,,"['Зимняя комплектация', 'Нагнетатель', 'Гидроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Система рекуперативного торможения', 'Биксеноновые фары', 'Светодиодные фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Датчик света', 'Датчики дождя', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Регулируемый люк', 'Рейлинги', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Управление аудиосистемой на руле', 'Цветной многофункциональный дисплей', 'Проекционная система показаний спидометра', 'Кнопка запуска двигателя', 'Кожаная обивка салона', 'Комбинированная обивка салона', 'Разделительный подлокотник спереди', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Подогрев задних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Натяжитель ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Переключатель режимов движения', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Система управления дальним светом', 'Система адаптивного освещения дороги (AFS)', 'Парктроник', 'Кондиционер', 'Климат-контроль', 'CD-плейер', 'DVD-чейнджер', 'Поддержка MP3', 'Hands free', 'Встроенный монитор для пассажиров', 'Система навигации', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Бортовой компьютер', 'Иммобилайзер', 'Спутниковая противоугонная система']",,2127900,X6
